question_id,question,llm_judgment,retrieved_titles,answer,human_agrees
2,How are American options priced numerically?,FAITHFUL,American options valuation in time-dependent jump-diffusion models via integral equations and characteristic functions | Pricing American options with exogenous and endogenous transaction costs | Time Deep Gradient Flow Method for pricing American options | American Options Pricing under Heston Model via Curriculum Learning in Coupled PINNs | Pricing American Options Time-Capped by a Drawdown Event,"American options can be priced numerically using various methods as discussed in the retrieved papers. One approach is through integral equations and characteristic functions, as described in ""American options valuation in time-dependent jump-diffusion models via integral equations and characteristic functions"". Another method involves using neural networks, specifically the Time Deep Gradient Flow (TDGF) method, as detailed in ""Time Deep Gradient Flow Method for pricing American options"". Additionally, the paper ""American Options Pricing under Heston Model via Curriculum Learning in Coupled PINNs"" proposes using coupled physics-informed neural networks (PINNs) with curriculum learning and adaptive resampling to price American options under the Heston model. Each of these methods addresses",1
3,What is implied volatility and how is it computed from market prices?,FAITHFUL,Shallow Representation of Option Implied Information | An Explicit Solution to Black-Scholes Implied Volatility | A Geometry-Aware Residual Correction of Hagan's SABR Implied Volatility Formula | Joint calibration of the volatility surface and variance term structure | Deep Learning Option Pricing with Market Implied Volatility Surfaces,"Implied volatility is a measure derived from the market prices of options, representing the market's expectation of future volatility. It can be computed from the Black-Scholes call price, which can be expressed as the survival probability of an inverse Gaussian distribution. Inverting this representation yields an analytically explicit formula for implied volatility in terms of the corresponding inverse Gaussian quantile function. This is detailed in the paper ""An Explicit Solution to Black-Scholes Implied Volatility"" (Abstract [2]).

The computation involves inverting the Black-Scholes formula to solve for the volatility given the market price of the option, which is equivalent to finding the inverse Gaussian quantile function. This approach provides an exact solution without relying on ",1
4,How does the Heston model handle stochastic volatility?,FAITHFUL,"Approximation and regularity results for the Heston model and related processes | Lifted Heston Model: Efficient Monte Carlo Simulation with Large Time Steps | Keeping Up with the Correlations: Stochastic Spot/Volatility Correlation and Exotic Pricing | Beyond Black-Scholes: A Computational Framework for Option Pricing Using Heston, GARCH, and Jump Diffusion Models | Heston vol-of-vol and the VVIX","The Heston model handles stochastic volatility by incorporating a stochastic variance process, which allows for the modeling of volatility clustering and skew. This is detailed in the paper ""Beyond Black-Scholes: A Computational Framework for Option Pricing Using Heston, GARCH, and Jump Diffusion Models"" (Abstract 4).

The Heston model uses two state variables to describe the evolution of the asset price and its variance over time. Specifically, it models the variance as a mean-reverting process, which captures the observed phenomenon of volatility clustering—where periods of high volatility tend to cluster together and periods of low volatility also tend to cluster. This is a significant improvement over the Black-Scholes model, which assumes constant volatility. 

Moreover, the Heston mo",1
5,What is Value at Risk and how is it estimated?,FAITHFUL,Reliable Real-Time Value at Risk Estimation via Quantile Regression Forest with Conformal Calibration | A Note on Subadditivity of Value at Risks (VaRs): A New Connection to Comonotonicity | Lambda Expected Shortfall | Efficiency versus Robustness under Tail Misspecification: Importance Sampling and Moment-Based VaR Bracketing | Cost-of-capital valuation with risky assets,"Value at Risk (VaR) is a widely used risk measure in quantitative financial risk management. It estimates the maximum potential loss over a specified time period with a given confidence level. The abstract from ""Reliable Real-Time Value at Risk Estimation via Quantile Regression Forest with Conformal Calibration"" describes a method to estimate VaR in real-time using the quantile regression forest in an offline-simulation-online-estimation (OSOA) framework. This method involves training the quantile regression forest offline to learn the relationship between the online VaR and risk factors, and then producing real-time VaR estimates online by incorporating observed risk factors. To ensure reliability, the conformalized estimator is developed to calibrate these online VaR estimates. The theo",1
7,How can deep learning be used for credit risk prediction?,FAITHFUL,Joint Return and Risk Modeling with Deep Neural Networks for Portfolio Construction | Minimizing the Value-at-Risk of Loan Portfolio via Deep Neural Networks | Forecasting Probability Distributions of Financial Returns with Deep Neural Networks | A comparative analysis of machine learning algorithms for predicting probabilities of default | Deep Learning for Financial Time Series: A Large-Scale Benchmark of Risk-Adjusted Performance,"Deep learning can be used for credit risk prediction by employing machine learning algorithms to predict the probability of default (PD) of prospective loans. According to the paper ""A comparative analysis of machine learning algorithms for predicting probabilities of default,"" five predictive models—Random Forests, Decision Trees, XGBoost, Gradient Boosting, and AdaBoost—are compared against logistic regression for their effectiveness in PD prediction within the context of loan portfolios. These models offer opportunities to enhance credit risk analysis by leveraging the strengths of various machine learning techniques. 

Reference: Title: A comparative analysis of machine learning algorithms for predicting probabilities of default

Note: While the other papers do not specifically address",1
0,How does the Black-Scholes model price European options?,UNFAITHFUL,"Black-Scholes Model, comparison between Analytical Solution and Numerical Analysis | Call Option Price using Pearson Diffusion Processes | Beyond Black-Scholes: A Computational Framework for Option Pricing Using Heston, GARCH, and Jump Diffusion Models | Efficient simulation of prices for European call options under Heston stochastic-local volatility model: a comparison of methods | Pricing American Options Time-Capped by a Drawdown Event","The Black-Scholes model provides a closed-form solution for pricing European options. However, the specific details of the pricing formula are not provided in the abstract of the paper ""Black-Scholes Model, comparison between Analytical Solution and Numerical Analysis"". The paper focuses more on comparing the analytical solution (using variable separation) and numerical methods (finite differences) for solving the Black-Scholes equation rather than detailing the exact pricing formula. Therefore, while we know the Black-Scholes model can be used to price European options, the precise formula is not given here. For the exact formula, one would need to refer to the original Black-Scholes paper or other sources that detail the derivation and application of the Black-Scholes formula. 

Referenc",1
1,What are the limitations of the Black-Scholes model in real markets?,UNFAITHFUL,"Utility Maximisation with Model-independent Constraints | Black-Scholes Model, comparison between Analytical Solution and Numerical Analysis | Perpetual American Standard and Lookback Options in Insider Models with Progressively Enlarged Filtrations | Mathematical Modeling of Option Pricing with an Extended Black-Scholes Framework | Empirical Analysis of the Model-Free Valuation Approach: Hedging Gaps, Conservatism, and Trading Opportunities","The Black-Scholes model assumes constant volatility and interest rates, which do not hold true in real markets. Additionally, it does not account for jumps or stochastic volatility, which can lead to inaccuracies in option pricing. These limitations are addressed in the extended Black-Scholes framework that includes stochastic volatility and interest rate variability, as discussed in ""Mathematical Modeling of Option Pricing with an Extended Black-Scholes Framework"".

Reference Paper: [4] Mathematical Modeling of Option Pricing with an Extended Black-Scholes Framework

However, the provided abstract does not explicitly state the limitations of the Black-Scholes model. It only mentions that the extended Black-Scholes model addresses these limitations. Therefore, based on the given abstracts,",1
6,How does Expected Shortfall differ from Value at Risk?,UNFAITHFUL,Lambda Expected Shortfall | PELVE from a regulatory perspective | Combining a Large Pool of Forecasts of Value-at-Risk and Expected Shortfall | Norms Based on Generalized Expected-Shortfalls and Applications | Informative Risk Measures in the Banking Industry: A Proposal based on the Magnitude-Propensity Approach,"Expected Shortfall (ES) differs from Value at Risk (VaR) in several key ways. ES is considered a more robust risk measure than VaR because it takes into account the tail losses beyond the VaR threshold, providing a more comprehensive view of potential losses. VaR only indicates the maximum loss at a certain confidence level, whereas ES quantifies the average loss in the tail beyond that threshold. This makes ES more suitable for risk management and regulatory purposes where the severity of extreme losses is of critical importance. For instance, ES is often preferred in regulatory frameworks like Solvency II, where it is recognized that ES offers a more comprehensive assessment of risk compared to VaR. (References: [2])

The introduction of Lambda-ES in the first paper further illustrates t",1
10,How does mean-variance optimization construct optimal portfolios?,UNFAITHFUL,A Scalable Gradient-Based Optimization Framework for Sparse Minimum-Variance Portfolio Selection | Competitive optimal portfolio selection under mean-variance criterion | Two Stochastic Control Methods for Mean-Variance Portfolio Selection of Jump Diffusions and Their Relationship | Optimal mean-variance portfolio selection under regime-switching-induced stock price shocks | Exploratory Mean-Variance with Jumps: An Equilibrium Approach,"Mean-variance optimization constructs optimal portfolios by selecting asset weights to minimize a risk-reward objective, such as the portfolio variance. For the classical minimum-variance framework, this involves choosing weights that minimize the portfolio variance. In more advanced settings, such as in competitive optimal portfolio selection, the utility of each agent is determined by their relative wealth compared to the average wealth of all agents, introducing a competitive dynamic into the optimization framework. The optimal portfolio and efficient frontier can be obtained using stochastic control methods or reinforcement learning techniques, depending on whether the model includes jumps in stock prices due to regime switching or other factors. In some cases, the optimal portfolio st",1
14,What is risk parity and why is it used?,UNFAITHFUL,The Cost of a Free Lunch: Evidence from U.S. Derivatives Markets | A Note on Subadditivity of Value at Risks (VaRs): A New Connection to Comonotonicity | On the Structure of Risk Contribution: A Leave-One-Out Decomposition into Inherent and Correlation Risk | Partial comonotonicity and distortion riskmetrics | Informative Risk Measures in the Banking Industry: A Proposal based on the Magnitude-Propensity Approach,"The concept of risk parity is not directly addressed in the provided abstracts. Therefore, I cannot provide an answer based on the information given. The abstracts discuss various aspects of risk measures, comonotonicity, and risk decomposition but do not delve into the specifics of risk parity. To understand risk parity, one would need to refer to additional sources or studies specifically focusing on this topic. 

The closest related abstract is [2], which discusses subadditivity of Value at Risk (VaR) and comonotonicity, but it does not mention risk parity. Risk parity is generally used in portfolio management to allocate assets in a way that each asset class contributes equally to the overall portfolio risk, rather than allocating based on their weights or values. However, this informa",1
