question_id,question,chunk_id,title,primary_category,abstract_preview,relevance
0,How does the Black-Scholes model price European options?,2504.03175v2_c0,Mathematical Modeling of Option Pricing with an Extended Black-Scholes Framework,math.NA,Title: Mathematical Modeling of Option Pricing with an Extended Black-Scholes Framework  Abstract: This study investigates enhancing option pricing by extending the Black-Scholes model to include stochastic volatility and interest rate variability within the Partial Differential Equation (PDE). The ,1
0,How does the Black-Scholes model price European options?,2504.20088v1_c0,Deep Learning vs. Black-Scholes: Option Pricing Performance on Brazilian Petrobras Stocks,q-fin.ST,"Title: Deep Learning vs. Black-Scholes: Option Pricing Performance on Brazilian Petrobras Stocks  Abstract: This paper explores the use of deep residual networks for pricing European options on Petrobras, one of the world's largest oil and gas producers, and compares its performance with the Black-S",1
0,How does the Black-Scholes model price European options?,2506.14614v1_c0,Pricing options on the cryptocurrency futures contracts,q-fin.MF,Title: Pricing options on the cryptocurrency futures contracts  Abstract: The cryptocurrency options market is notable for its high volatility and lower liquidity compared to traditional markets. These characteristics introduce significant challenges to traditional option pricing methodologies. Addr,0
0,How does the Black-Scholes model price European options?,2506.17511v1_c0,Empirical Models of the Time Evolution of SPX Option Prices,q-fin.PR,"Title: Empirical Models of the Time Evolution of SPX Option Prices  Abstract: The key objective of this paper is to develop an empirical model for pricing SPX options that can be simulated over future paths of the SPX. To accomplish this, we formulate and rigorously evaluate several statistical mode",0
0,How does the Black-Scholes model price European options?,2508.14577v1_c0,Call Option Price using Pearson Diffusion Processes,q-fin.MF,"Title: Call Option Price using Pearson Diffusion Processes  Abstract: Following the foundational work of the Black--Scholes model, extensive research has been developed to price the option by addressing its underlying assumptions and associated pricing biases. This study introduces a novel framework",0
0,How does the Black-Scholes model price European options?,2509.00999v1_c0,Pricing American Options Time-Capped by a Drawdown Event,q-fin.MF,"Title: Pricing American Options Time-Capped by a Drawdown Event  Abstract: This paper presents a derivation of the explicit price for the perpetual American put option in the Black-Scholes model, time-capped by the first drawdown epoch beyond a predefined level. We demonstrate that the optimal exerc",0
0,How does the Black-Scholes model price European options?,2509.18099v1_c0,"Path-dependent, ESG-valued, option pricing in the Bachelier-Black-Scholes-Merton model",q-fin.PR,"Title: Path-dependent, ESG-valued, option pricing in the Bachelier-Black-Scholes-Merton model  Abstract: We extend the application of the Cherny-Shiryaev-Yor invariance principle to a unified Bachelier-Black-Scholes-Merton (BBSM) dynamic pricing model. This extension incorporates the influence of th",0
0,How does the Black-Scholes model price European options?,2509.24449v2_c0,Efficient simulation of prices for European call options under Heston stochastic-local volatility model: a comparison of methods,q-fin.CP,"Title: Efficient simulation of prices for European call options under Heston stochastic-local volatility model: a comparison of methods  Abstract: The Heston stochastic-local volatility model, consisting of a asset price process and a Cox--Ingersoll--Ross-type variance process, offers a wide range o",0
0,How does the Black-Scholes model price European options?,2510.01211v1_c0,Fast and explicit European option pricing under tempered stable processes,q-fin.CP,Title: Fast and explicit European option pricing under tempered stable processes  Abstract: We provide series expansions for the tempered stable densities and for the price of European-style contracts in the exponential Lévy model driven by the tempered stable process. These formulas recover several,0
0,How does the Black-Scholes model price European options?,2510.14093v1_c0,The Variance-Gamma Process for Option Pricing,q-fin.MF,"Title: The Variance-Gamma Process for Option Pricing  Abstract: This paper explores the concept of random-time subordination in modelling stock-price dynamics, and We first present results on the Laplace distribution as a Gaussian variance-mixture, in particular a more efficient volatility estimatio",0
0,How does the Black-Scholes model price European options?,2510.27277v2_c0,"Black-Scholes Model, comparison between Analytical Solution and Numerical Analysis",q-fin.PR,"Title: Black-Scholes Model, comparison between Analytical Solution and Numerical Analysis  Abstract: The main purpose of this article is to give a general overview and understanding of the first widely used option-pricing model, the Black-Scholes model. The history and context are presented, with th",1
